Date,Gold_IDR_gram,USDIDR,IHSG
2015-08-20,509635.3786551353,13748.0,4441.73828125
2015-08-21,517660.2524156684,13885.0,4335.78466796875
2015-08-24,512296.7298625644,13815.0,4163.56689453125
2015-08-25,509204.82648437127,13915.0,4228.3359375
2015-08-26,498962.4853500711,13800.0,4237.56787109375
2015-08-27,503760.1665671167,13960.0,4430.45947265625
2015-08-28,502551.61519468896,13795.0,4446.0283203125
2015-08-31,506070.2384104808,13910.0,4509.431640625
2015-09-01,512540.36736721755,14000.0,4412.28759765625
2015-09-02,509312.7783046924,13988.0,4401.1220703125
2015-09-03,507595.10389392974,14050.0,4432.93798828125
2015-09-04,506735.21168409375,14065.0,4415.1708984375
2015-09-07,506735.21168409375,14190.0,4301.1982421875
2015-09-08,514209.34455963934,14275.0,4318.42236328125
2015-09-09,501781.1921035816,14160.0,4347.107421875
2015-09-10,508314.9806291897,14250.0,4343.09228515625
2015-09-11,505033.9190123298,14235.0,4360.2978515625
2015-09-14,508202.55930112867,14270.0,4390.2021484375
2015-09-15,507372.76186700753,14310.0,4346.99072265625
2015-09-16,518156.45496085647,14400.0,4332.3447265625
2015-09-17,516450.6503127286,14377.0,4378.2138671875
2015-09-18,520503.22801967495,14225.0,4380.14892578125
2015-09-21,524701.0448458939,14403.0,4375.91162109375
2015-09-22,523373.57532110537,14470.0,4343.875
2015-09-23,530991.7418836065,14595.0,4244.26171875
2015-09-24,543078.1974647146,14640.0,4244.26171875
2015-09-25,540512.1610108188,14670.0,4209.27490234375
2015-09-28,531980.130853441,14617.0,4120.34228515625
2015-09-29,532576.3448224966,14697.0,4178.24560546875
2015-09-30,526485.4437603485,14680.0,4223.744140625
2015-10-01,521286.59763219976,14552.0,4254.71044921875
2015-10-02,536131.6617733623,14665.0,4207.634765625
2015-10-05,534407.7079245943,14605.0,4343.5322265625
2015-10-06,532151.2082156776,14433.0,4445.60791015625
2015-10-07,519392.99435754825,14060.0,4486.95751953125
2015-10-08,510272.63243680116,13865.0,4491.2578125
2015-10-09,498528.5789311542,13410.0,4589.16552734375
2015-10-12,498865.6686609324,13320.0,4630.52685546875
2015-10-13,506072.70111972425,13502.0,4482.90185546875
2015-10-14,517895.56373874476,13650.0,4482.90185546875
2015-10-15,506423.85338403936,13260.0,4507.01953125
2015-10-16,509918.1658929562,13400.0,4521.70556640625
2015-10-19,508309.9380442389,13475.0,4569.66650390625
2015-10-20,516973.97399006545,13650.0,4585.6455078125
2015-10-21,515525.5988786368,13733.0,4605.046875
2015-10-22,513846.3409432168,13700.0,4584.38330078125
